epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.0071,1.53031,4.27284,1.4459,0.07459,0.22321,0.07147,0.05304,1.24519,3.55364,1.22418,6e-05,6e-05,6e-05
2,74.2215,1.20062,3.11784,1.22712,0.5616,0.36567,0.38194,0.26857,1.02053,2.52592,1.09229,0.000127855,0.000127855,0.000127855
3,83.2005,1.06682,1.91448,1.14634,0.64827,0.62457,0.747,0.57615,0.92819,1.91314,1.00956,0.0001934,0.0001934,0.0001934
4,87.821,1.04115,1.53394,1.11734,0.64205,0.75283,0.80082,0.59652,0.92651,1.55558,1.01406,0.000256635,0.000256635,0.000256635
5,94.0944,1.00711,1.28254,1.09275,0.70392,0.83818,0.8207,0.62647,0.91239,1.35565,0.98498,0.00031756,0.00031756,0.00031756
6,99.3442,1.02312,1.32529,1.14076,0.73285,0.81667,0.81244,0.57671,1.11812,1.3915,1.1242,0.000376175,0.000376175,0.000376175
7,103.974,1.02235,1.1233,1.16232,0.79279,0.77099,0.79675,0.60207,0.95448,1.05164,1.02733,0.00043248,0.00043248,0.00043248
8,108.811,0.97737,1.00983,1.13049,0.76194,0.87476,0.80017,0.59284,1.06029,1.07202,1.14741,0.000486475,0.000486475,0.000486475
9,113.418,0.98527,0.93385,1.13437,0.69753,0.82222,0.81344,0.59233,1.00159,1.03668,1.12923,0.00053816,0.00053816,0.00053816
10,119.076,0.96461,0.93106,1.11644,0.72598,0.80354,0.79683,0.58746,0.99934,1.1799,1.14345,0.000587535,0.000587535,0.000587535
11,123.535,0.96592,0.86988,1.1166,0.74529,0.69277,0.78813,0.58092,1.06206,1.14511,1.23897,0.0006346,0.0006346,0.0006346
12,127.795,0.94926,0.84451,1.09995,0.85389,0.7588,0.82731,0.58378,1.1523,1.05628,1.28073,0.000679355,0.000679355,0.000679355
13,133.102,0.98238,0.83573,1.12361,0.75449,0.82892,0.83747,0.60008,1.14129,0.98326,1.30002,0.0007218,0.0007218,0.0007218
14,137.743,0.93098,0.75511,1.09696,0.75038,0.87403,0.83982,0.61477,1.08318,1.11576,1.21555,0.000761935,0.000761935,0.000761935
15,141.81,0.95085,0.74043,1.09789,0.82753,0.75841,0.7899,0.58452,1.04984,1.10263,1.13503,0.000769,0.000769,0.000769
16,147.168,0.92024,0.68698,1.0683,0.79776,0.74675,0.79022,0.58029,1.00261,1.10425,1.11418,0.0007525,0.0007525,0.0007525
17,151.492,0.92669,0.74383,1.06976,0.76507,0.62158,0.70904,0.50187,1.08628,1.37734,1.15845,0.000736,0.000736,0.000736
18,155.978,0.90282,0.66204,1.07749,0.82102,0.67497,0.73319,0.53186,1.00662,1.16361,1.14878,0.0007195,0.0007195,0.0007195
19,161.364,0.92281,0.6739,1.07389,0.75228,0.74975,0.81791,0.5931,0.99123,1.05922,1.14391,0.000703,0.000703,0.000703
